total_violent_crime,household_income,"County,State"
7287,55149,"Kent,DE"
21182,64537,"New Castle,DE"
7515,52710,"Sussex,DE"
10164,42149,"Alachua,FL"
361,49236,"Baker,FL"
8281,47461,"Bay,FL"
676,40259,"Bradford,FL"
19686,48039,"Brevard,FL"
75839,51251,"Broward,FL"
134,32780,"Calhoun,FL"
3913,44378,"Charlotte,FL"
3304,39100,"Citrus,FL"
5118,59482,"Clay,FL"
6376,55843,"Collier,FL"
2627,38070,"Columbia,FL"
496,33981,"Dixie,FL"
42674,48323,"Duval,FL"
16993,43918,"Escambia,FL"
2205,47233,"Flagler,FL"
318,38328,"Franklin,FL"
1394,35380,"Gadsden,FL"
280,38406,"Gilchrist,FL"
233,34694,"Glades,FL"
338,40455,"Gulf,FL"
387,37716,"Hamilton,FL"
812,37125,"Hardee,FL"
1534,35425,"Hendry,FL"
5150,41024,"Hernando,FL"
2747,35560,"Highlands,FL"
35178,49596,"Hillsborough,FL"
298,35511,"Holmes,FL"
4222,44772,"Indian River,FL"
1058,36809,"Jackson,FL"
266,44170,"Jefferson,FL"
95,39722,"Lafayette,FL"
8334,45035,"Lake,FL"
17301,47439,"Lee,FL"
12918,46369,"Leon,FL"
1071,34348,"Levy,FL"
66,39681,"Liberty,FL"
644,33833,"Madison,FL"
12841,47876,"Manatee,FL"
8943,39453,"Marion,FL"
3631,49846,"Martin,FL"
130943,43100,"Miami-Dade,FL"
3728,53607,"Monroe,FL"
1543,55315,"Nassau,FL"
5930,54684,"Okaloosa,FL"
1586,34570,"Okeechobee,FL"
58250,47581,"Orange,FL"
10595,43891,"Osceola,FL"
50743,52432,"Palm Beach,FL"
14805,43888,"Pasco,FL"
38929,45535,"Pinellas,FL"
21348,43113,"Polk,FL"
3589,32497,"Putnam,FL"
2498,57703,"Santa Rosa,FL"
12283,49052,"Sarasota,FL"
11644,58175,"Seminole,FL"
5204,64876,"St. Johns,FL"
8092,43413,"St. Lucie,FL"
1078,48493,"Sumter,FL"
921,35698,"Suwannee,FL"
453,36356,"Taylor,FL"
194,42660,"Union,FL"
19402,42457,"Volusia,FL"
783,52691,"Wakulla,FL"
1646,43640,"Walton,FL"
471,38501,"Washington,FL"
628,36786,"Appling,GA"
248,30049,"Atkinson,GA"
205,33757,"Bacon,GA"
37,27353,"Baker,GA"
1677,32751,"Baldwin,GA"
621,41141,"Banks,GA"
1988,53274,"Barrow,GA"
4283,47197,"Bartow,GA"
599,28547,"Ben Hill,GA"
472,32258,"Berrien,GA"
10407,37550,"Bibb,GA"
392,36073,"Bleckley,GA"
386,36070,"Brantley,GA"
566,34419,"Brooks,GA"
656,64707,"Bryan,GA"
2465,35840,"Bulloch,GA"
784,31494,"Burke,GA"
624,49754,"Butts,GA"
122,26986,"Calhoun,GA"
1656,51990,"Camden,GA"
228,35070,"Candler,GA"
3813,46147,"Carroll,GA"
2049,47087,"Catoosa,GA"
213,40111,"Charlton,GA"
11206,45794,"Chatham,GA"
24,48758,"Chattahoochee,GA"
535,33228,"Chattooga,GA"
3338,67261,"Cherokee,GA"
5421,33060,"Clarke,GA"
4,21192,"Clay,GA"
14735,40606,"Clayton,GA"
285,30345,"Clinch,GA"
18660,63920,"Cobb,GA"
2182,35693,"Coffee,GA"
1906,32484,"Colquitt,GA"
2684,69306,"Columbia,GA"
386,34985,"Cook,GA"
2920,60813,"Coweta,GA"
491,41586,"Crawford,GA"
1477,35240,"Crisp,GA"
291,43205,"Dade,GA"
388,53525,"Dawson,GA"
1149,30619,"Decatur,GA"
1013,37292,"Dodge,GA"
210,29012,"Dooly,GA"
6588,31671,"Dougherty,GA"
4532,52691,"Douglas,GA"
374,28853,"Early,GA"
46,31375,"Echols,GA"
613,63030,"Effingham,GA"
