state,total_violent_crime,household_income
MO,28499,34582
IL,407,26972
TX,19,43438
MD,38950,41385
TN,60653,46250
SC,1905,28297
NV,136,61573
SC,2282,28817
MO,1742,40651
PA,74866,37192
NV,154,52101
SC,4458,36540
TN,5235,41617
TN,35205,47335
IN,59476,42334
MI,89515,41184
MO,47941,47015
MO,858,28889
OK,3038,38502
SC,1335,35231
SC,2237,29149
GA,6588,31671
OK,2360,41401
MI,19498,42089
WI,52476,43193
SC,23253,48359
TN,522,26814
MN,149,46623
IA,5881,51304
TX,639,36806
IL,13373,47072
MA,28468,53540
MI,6366,42331
GA,58073,56857
FL,644,33833
IL,10961,55449
TN,801,34542
KS,63,51000
FL,16993,43918
WV,635,40064
FL,318,38328
IL,10391,50578
TX,6371,51466
SC,5554,41366
OK,6648,46036
SC,2066,33233
GA,1845,33796
SC,4384,36323
TX,15647,44397
NM,659,34036
TX,432,34131
NM,38032,48801
TX,351,31967
SC,974,27373
SC,2946,37383
MS,15151,37626
NM,681,37237
OK,30314,48181
FL,3589,32497
TX,12013,42568
WV,1456,41025
SC,797,31483
TX,210023,53137
TX,1953,40585
OK,42912,45215
MO,534,29787
GA,122,26986
TN,1787,38953
NV,73306,52873
NM,127,29071
NM,4121,48196
SC,1047,36120
FL,453,36356
GA,1832,35830
FL,12918,46369
NV,147,72742
FL,58250,47581
MS,1753,24480
NJ,26821,55095
GA,1200,39844
GA,784,31494
TN,17087,46702
FL,130943,43100
FL,2627,38070
TN,362,36066
TX,840,44731
VA,11288,40496
MS,349,27186
GA,374,28853
TN,972,38280
IL,1449,42981
GA,130,27796
TN,1111,32326
TN,1842,30573
TX,4464,42346
SC,710,34233
FL,1534,35425
FL,42674,48323
MO,18964,40337
FL,266,44170
SC,16165,42431
TX,17402,47057
KS,26949,49865
KS,1440,39669
GA,1253,32046
NJ,20002,61683
NV,1415,39876
FL,10164,42149
IL,7842,50712
MI,5210,42110
SC,1557,25849
TX,22,67321
TN,3869,41083
SC,10825,41579
SC,1513,33103
TX,843,25886
IL,202273,54548
IN,5280,50496
TX,5861,37951
KS,9201,39402
GA,277,28326
NM,1003,29282
FL,12841,47876
MA,18478,49094
GA,1009,39993
DE,21182,64537
IL,2611,33479
TN,6448,39479
SC,19207,49022
KY,37090,46959
GA,14735,40606
VA,333,32155
SC,2481,43765
MI,1149,39470
NM,2679,49165
SC,1244,32556
IL,3539,41400
NM,1065,40250
TN,811,30973
GA,566,34419
IL,6972,45808
GA,4347,46407
VA,1630,34424
VA,13494,44747
IL,212,49389
TN,1030,33229
MO,2298,34969
TN,2712,45336
NJ,7664,50750
GA,2189,34591
FL,38929,45535
VA,5374,38145
SC,1538,31410
NM,3383,39131
GA,57,31068
MD,3954,51092
TX,446,57825
GA,3597,41534
TX,3617,50364
WV,144,34702
GA,554,36296
MD,3964,66689
FL,19686,48039
TN,5683,49617
SC,5988,57316
DE,7287,55149
TX,1465,45612
GA,623,44764
MO,535,34797
GA,285,30345
GA,234,28983
MI,8235,40979
WV,925,35487
FL,1394,35380
PA,8704,54066
MT,693,43726
GA,10407,37550
TN,20679,47694
OK,1540,38897
MO,2299,38461
PA,15615,64041
TX,361,42568
TN,1492,38343
MA,16082,55298
SC,2674,41394
OK,1304,41881
FL,3728,53607
TX,647,39248
SC,878,35947
VA,348,30325
MD,1306,46361
PA,2576,43546
GA,599,28547
MD,28106,66486
IA,1680,42451
FL,1586,34570
SC,3573,42217
IA,1205,42469
TX,5164,58529
GA,1677,32751
TX,1704,38378
NM,2859,50694
KS,901,46908
FL,8281,47461
LA,1935,31778
TX,692,47027
TN,394,29609
NM,2341,42506
TX,6095,45525
TX,1512,40566
MT,85,48667
GA,12348,41339
MA,417,85478
TN,342,36258
FL,10595,43891
SC,7097,53740
KS,8894,48451
SD,4659,50833
MI,8772,45321
KS,352,38534
FL,676,40259
NE,23399,53325
NJ,13539,57654
TX,1028,43504
VA,5331,46166
NM,152,38902
TN,1049,33622
FL,8943,39453
FL,50743,52432
OR,41623,52511
SC,2656,40131
SC,1895,31252
GA,1477,35240
OK,2884,42764
NM,25,37660
SC,613,40704
VA,607,30714
FL,75839,51251
WV,3697,40758
NM,592,28275
IA,1241,51425
TX,493,36681
TN,957,41571
FL,5930,54684
KS,3276,43798
GA,1149,30619
TN,2745,39596
MN,22167,54247
WV,341,27766
IA,1680,49559
GA,1988,53274
TN,1857,37618
KS,554,39591
NJ,9724,54235
NV,170,48586
DE,7515,52710
WV,7663,46085
TN,334,35150
GA,12940,37749
MO,162,36387
SC,1242,41718
TX,357,37849
SC,6676,41910
TX,3266,44858
NM,689,38764
OK,5204,63629
TX,2686,47228
SC,529,38514
MO,1416,39334
VA,1716,44601
NJ,9904,73480
TN,8514,55401
KS,2102,63435
IA,5638,52735
MO,609,32951
TN,3241,33709
TX,106199,49481
MD,17322,87430
WI,106,39051
NJ,15256,58442
MS,763,34129
FL,338,40455
TN,1527,37595
WV,826,37276
MO,1143,39013
TX,426,41658
WY,1155,71525
TX,84,56379
PA,194,36556
MI,5333,43633
SC,10965,42919
FL,19402,42457
TX,103495,50112
MA,20608,65223
TX,6255,42971
IA,4217,45747
TX,12294,39449
TN,1428,37368
WA,37683,59204
GA,2106,39208
MD,444,56259
KS,1304,41878
KS,1130,44981
TX,755,50565
MI,256,35260
IA,1509,41624
TX,1727,45752
FL,1058,36809
IL,682,43536
TN,2226,37188
MO,730,40850
TN,187,43034
MA,6780,60526
GA,2182,35693
TX,96,48992
TN,853,34474
TX,11,42429
TN,1619,52423
TX,6648,38310
SC,5231,53857
KS,1180,47945
VA,6748,51027
MO,6093,40399
TX,75725,56853
MO,2251,53931
VA,977,37933
IN,20490,49035
SC,4951,34110
MO,896,39512
GA,505,45729
TX,210,25625
TX,210,40895
MO,1275,38679
MN,44720,64403
PA,31505,51366
KS,922,43085
GA,1794,34572
TX,128,47532
