county,state,total_violent_crime,household_income
St. Louis City,MO,28499,34582
Alexander,IL,407,26972
Kenedy,TX,19,43438
Baltimore City,MD,38950,41385
Shelby,TN,60653,46250
Marlboro,SC,1905,28297
Storey,NV,136,61573
Dillon,SC,2282,28817
Scott,MO,1742,40651
Philadelphia,PA,74866,37192
Pershing,NV,154,52101
Greenwood,SC,4458,36540
Madison,TN,5235,41617
Davidson,TN,35205,47335
Marion,IN,59476,42334
Wayne,MI,89515,41184
Jackson,MO,47941,47015
Pemiscot,MO,858,28889
Muskogee,OK,3038,38502
Barnwell,SC,1335,35231
Marion,SC,2237,29149
Dougherty,GA,6588,31671
Carter,OK,2360,41401
Genesee,MI,19498,42089
Milwaukee,WI,52476,43193
Richland,SC,23253,48359
Grundy,TN,522,26814
Rock,MN,149,46623
Pottawattamie,IA,5881,51304
Nolan,TX,639,36806
Winnebago,IL,13373,47072
Suffolk,MA,28468,53540
Saginaw,MI,6366,42331
Fulton,GA,58073,56857
Madison,FL,644,33833
Sangamon,IL,10961,55449
Haywood,TN,801,34542
Meade,KS,63,51000
Escambia,FL,16993,43918
Nicholas,WV,635,40064
Franklin,FL,318,38328
St. Clair,IL,10391,50578
Ector,TX,6371,51466
Sumter,SC,5554,41366
Comanche,OK,6648,46036
Colleton,SC,2066,33233
Sumter,GA,1845,33796
Darlington,SC,4384,36323
Lubbock,TX,15647,44397
Socorro,NM,659,34036
Duval,TX,432,34131
Bernalillo,NM,38032,48801
Marion,TX,351,31967
Lee,SC,974,27373
Laurens,SC,2946,37383
Hinds,MS,15151,37626
Cibola,NM,681,37237
Tulsa,OK,30314,48181
Putnam,FL,3589,32497
Jefferson,TX,12013,42568
Ohio,WV,1456,41025
Bamberg,SC,797,31483
Harris,TX,210023,53137
Jim Wells,TX,1953,40585
Oklahoma,OK,42912,45215
Mississippi,MO,534,29787
Calhoun,GA,122,26986
Dyer,TN,1787,38953
Clark,NV,73306,52873
Guadalupe,NM,127,29071
San Juan,NM,4121,48196
Fairfield,SC,1047,36120
Taylor,FL,453,36356
Wayne,GA,1832,35830
Leon,FL,12918,46369
Lander,NV,147,72742
Orange,FL,58250,47581
Leflore,MS,1753,24480
Essex,NJ,26821,55095
Peach,GA,1200,39844
Burke,GA,784,31494
Hamilton,TN,17087,46702
Miami-Dade,FL,130943,43100
Columbia,FL,2627,38070
Crockett,TN,362,36066
Hutchinson,TX,840,44731
Richmond City,VA,11288,40496
Jefferson Davis,MS,349,27186
Early,GA,374,28853
Henderson,TN,972,38280
Jefferson,IL,1449,42981
Warren,GA,130,27796
Lauderdale,TN,1111,32326
Cocke,TN,1842,30573
Bowie,TX,4464,42346
Hampton,SC,710,34233
Hendry,FL,1534,35425
Duval,FL,42674,48323
Greene,MO,18964,40337
Jefferson,FL,266,44170
Horry,SC,16165,42431
Nueces,TX,17402,47057
Sedgwick,KS,26949,49865
Montgomery,KS,1440,39669
Emanuel,GA,1253,32046
Camden,NJ,20002,61683
Nye,NV,1415,39876
Alachua,FL,10164,42149
Peoria,IL,7842,50712
Calhoun,MI,5210,42110
Williamsburg,SC,1557,25849
Roberts,TX,22,67321
Bradley,TN,3869,41083
Anderson,SC,10825,41579
Chester,SC,1513,33103
Willacy,TX,843,25886
Cook,IL,202273,54548
Clark,IN,5280,50496
Potter,TX,5861,37951
Wyandotte,KS,9201,39402
Turner,GA,277,28326
Luna,NM,1003,29282
Manatee,FL,12841,47876
Hampden,MA,18478,49094
Haralson,GA,1009,39993
New Castle,DE,21182,64537
Jackson,IL,2611,33479
Sullivan,TN,6448,39479
Greenville,SC,19207,49022
Jefferson,KY,37090,46959
Clayton,GA,14735,40606
Emporia City,VA,333,32155
Kershaw,SC,2481,43765
Mecosta,MI,1149,39470
Eddy,NM,2679,49165
Union,SC,1244,32556
Vermilion,IL,3539,41400
Rio Arriba,NM,1065,40250
Hardeman,TN,811,30973
Brooks,GA,566,34419
Champaign,IL,6972,45808
Glynn,GA,4347,46407
Petersburg City,VA,1630,34424
Norfolk City,VA,13494,44747
Henderson,IL,212,49389
Claiborne,TN,1030,33229
Butler,MO,2298,34969
Maury,TN,2712,45336
Cumberland,NJ,7664,50750
Tift,GA,2189,34591
Pinellas,FL,38929,45535
Roanoke City,VA,5374,38145
Clarendon,SC,1538,31410
Chaves,NM,3383,39131
Quitman,GA,57,31068
Wicomico,MD,3954,51092
Andrews,TX,446,57825
Spalding,GA,3597,41534
Victoria,TX,3617,50364
Wirt,WV,144,34702
Jeff Davis,GA,554,36296
Cecil,MD,3964,66689
Brevard,FL,19686,48039
Montgomery,TN,5683,49617
Beaufort,SC,5988,57316
Kent,DE,7287,55149
Howard,TX,1465,45612
Putnam,GA,623,44764
Morgan,MO,535,34797
Clinch,GA,285,30345
Wilkes,GA,234,28983
Muskegon,MI,8235,40979
Lincoln,WV,925,35487
Gadsden,FL,1394,35380
Dauphin,PA,8704,54066
Hill,MT,693,43726
Bibb,GA,10407,37550
Knox,TN,20679,47694
Bryan,OK,1540,38897
Taney,MO,2299,38461
Delaware,PA,15615,64041
Ward,TX,361,42568
Gibson,TN,1492,38343
Bristol,MA,16082,55298
Oconee,SC,2674,41394
Pontotoc,OK,1304,41881
Monroe,FL,3728,53607
Gonzales,TX,647,39248
Abbeville,SC,878,35947
Galax City,VA,348,30325
Dorchester,MD,1306,46361
Lawrence,PA,2576,43546
Ben Hill,GA,599,28547
Baltimore,MD,28106,66486
Des Moines,IA,1680,42451
Okeechobee,FL,1586,34570
Lancaster,SC,3573,42217
Lee,IA,1205,42469
Randall,TX,5164,58529
Baldwin,GA,1677,32751
Cherokee,TX,1704,38378
Lea,NM,2859,50694
Geary,KS,901,46908
Bay,FL,8281,47461
Washington Parish,LA,1935,31778
Calhoun,TX,692,47027
Johnson,TN,394,29609
Valencia,NM,2341,42506
Gregg,TX,6095,45525
Kleberg,TX,1512,40566
Sheridan,MT,85,48667
Muscogee,GA,12348,41339
Nantucket,MA,417,85478
Decatur,TN,342,36258
Osceola,FL,10595,43891
York,SC,7097,53740
Shawnee,KS,8894,48451
Pennington,SD,4659,50833
Ingham,MI,8772,45321
Cloud,KS,352,38534
Bradford,FL,676,40259
Douglas,NE,23399,53325
Passaic,NJ,13539,57654
Gray,TX,1028,43504
Portsmouth City,VA,5331,46166
Union,NM,152,38902
Hardin,TN,1049,33622
Marion,FL,8943,39453
Palm Beach,FL,50743,52432
Multnomah,OR,41623,52511
Georgetown,SC,2656,40131
Chesterfield,SC,1895,31252
Crisp,GA,1477,35240
Pottawatomie,OK,2884,42764
De Baca,NM,25,37660
Calhoun,SC,613,40704
Radford City,VA,607,30714
Broward,FL,75839,51251
Raleigh,WV,3697,40758
San Miguel,NM,592,28275
Muscatine,IA,1241,51425
Dimmit,TX,493,36681
Lincoln,TN,957,41571
Okaloosa,FL,5930,54684
Reno,KS,3276,43798
Decatur,GA,1149,30619
Hamblen,TN,2745,39596
Ramsey,MN,22167,54247
Hampshire,WV,341,27766
Clinton,IA,1680,49559
Barrow,GA,1988,53274
Coffee,TN,1857,37618
Bourbon,KS,554,39591
Atlantic,NJ,9724,54235
White Pine,NV,170,48586
Sussex,DE,7515,52710
Kanawha,WV,7663,46085
Meigs,TN,334,35150
Richmond,GA,12940,37749
Iron,MO,162,36387
Newberry,SC,1242,41718
Morris,TX,357,37849
Florence,SC,6676,41910
Hunt,TX,3266,44858
Roosevelt,NM,689,38764
Canadian,OK,5204,63629
Liberty,TX,2686,47228
Saluda,SC,529,38514
Lawrence,MO,1416,39334
Charlottesville City,VA,1716,44601
Mercer,NJ,9904,73480
Rutherford,TN,8514,55401
Leavenworth,KS,2102,63435
