,household_income_rank,county,state_name,per_capita_income,household_income,family_income,num_of_households,state
0,1,Santa Clara,California,56248,124055,124055,640215,CA
1,2,Loudoun,Virginia,46565,122238,133550,106997,VA
2,3,Falls Church City,Virginia,59088,120000,152857,5020,VA
3,4,Fairfax ,Virginia,50532,110292,128596,389908,VA
4,5,Howard,Maryland,48172,109865,128657,106142,MD
5,6,Los Alamos,New Mexico,51044,106686,124979,7590,NM
6,7,Hunterdon,New Jersey,50349,106143,125828,46816,NJ
7,8,Arlington,Virginia,62018,103208,139244,94454,VA
8,9,Douglas,Colorado,43634,101591,112930,103780,CO
9,10,Somerset,New Jersey,47803,99020,117393,115531,NJ
10,11,Morris,New Jersey,48814,98633,117683,179665,NJ
11,12,Montgomery,Maryland,49038,98221,117408,360563,MD
12,13,Prince William,Virginia,37401,98071,106544,132442,VA
13,14,Nassau,New York,42400,97690,112874,441955,New York
14,15,Fairfax City,Virginia,44345,97242,113538,8492,VA
15,16,Stafford,Virginia,36574,97110,106322,42178,VA
16,17,Calvert,Maryland,38260,95477,107684,30923,MD
17,18,Putnam,New York,40309,95117,109188,34496,New York
18,19,Charles,Maryland,37277,93160,104078,51247,MD
19,20,Marin,California,56791,90839,117357,102912,CA
20,21,Williamson,Tennessee,41292,89779,104796,66364,TN
21,22,Delaware ,Ohio,40189,89757,103564,64208,Ohio
22,23,Fauquier,Virginia,39600,88409,103556,23130,VA
23,24,San Mateo,California,45732,88202,105844,257941,CA
24,25,Suffolk,New York,36945,87763,100652,497347,New York
25,26,Anne Arundel,Maryland,40415,87430,101268,199904,MD
26,27,Sussex,New Jersey,37949,87335,100066,54746,NJ
27,28,Queen Anne's,Maryland,38108,87256,97909,17292,MD
28,29,Forsyth,Georgia,34582,86569,99573,58080,GA
29,30,Rockwall,Texas,34617,86119,92837,26820,TX
30,31,Scott,Minnesota,35467,86112,97693,45630,MN
31,32,Chester,Pennsylvania,42210,86050,105278,184788,PA
32,33,Alexandria City,Virginia,54608,85706,107511,65369,VA
33,34,St. Mary's,Maryland,36017,85672,95186,37589,MD
34,35,Nantucket,Massachusetts,47331,85478,92500,4069,MA
35,36,Fort Bend,Texas,34084,85297,94931,191406,TX
36,37,Rockland,New York,34591,84951,99649,98326,New York
37,38,Norfolk,Massachusetts,44692,84916,108943,257451,MA
38,39,Carroll,Maryland,36153,84790,100643,59909,MD
